"","Economic","Environment","wantPossible","unityDifferences","lawsPeople","ownAll","pCongress","pBusiness","tCongress","tBusiness","Change","LGBT","mLeft","mRight"
"620",0,100,64,66,91,53,67.5675675675676,31.8544130067567,24.6621621621622,45.1990076013513,50,3,1,7
"621",0.0495496446442312,90.7300323503493,100,100,100,100,87.853270584598,68.3371687230361,9.21156548724888,17.3313430355495,37.4928918070189,4,5,5
"622",13.8011465827338,13.8011465827338,78,91,74,36,77.5337837837838,72.3949535472973,47.1283783783784,70.1990076013514,59.4517198741007,4,3,5
"623",50.1237542242803,49.7963048495515,75,23,13,76,72.7551129129198,26.2299882041084,36.2316754129198,38.404467370775,49.9306902057126,3,1,5
"624",4.35606060606061,95.6439393939394,89,100,99,91,52.7121803977273,NA,NA,48.6106178977273,47.6245499345547,5,4,7
"625",28.095772557979,26.845772557979,69,26,28,81,71.6216229103707,38.456510853123,27.195947234695,61.7673216639338,49.6043173700785,2,4,6
"626",79.8217633064015,7.71738079144792,76,100,14,94,17.75008837382,66.2026643753052,15.4348068767124,49.4994534386529,11.7979922487908,4,4,4
"627",100,0,95,97,0,100,NA,34.3842679804022,18.1408217459014,61.051776192405,52.2505452358472,5,4,4
"628",2.42299910071943,1.79799910071943,0,0,100,100,48.2551799345692,NA,34.0785169029444,76.6425845147219,50.4117018884892,1,5,7
"629",91.9986488836275,5.74864888362747,89,97,50,96,83.1081042418609,61.5983975900186,63.3445907283474,82.3754246170456,52.0301308391763,4,4,8
"630",17.0863314841291,17.7113314841291,65,88,0,76,47.972974261722,69.8754297720419,12.1621634509112,51.2943486909609,18.0474378736757,4,3,3
"631",4.03495953237409,89.0349595323741,80,100,97,100,42.7364864864865,56.1787373310811,19.2567567567568,58.2057643581081,50.199246852518,5,1,7
"632",11.3304375084008,10.3206455961659,100,100,100,0,84.0431994617401,4.56796943012766,12.1949651132631,52.0587899939138,55.1637095759406,5,5,5
"633",8.25181500640605,81.0976636516399,100,NA,100,NA,59.759174942155,NA,NA,35.2780564094267,51.650066530712,4,1,4
"634",30.9819019784173,32.2319019784173,81,49,50,86,52.3648648648649,38.7800886824324,42.2297297297297,57.1922508445946,11.3728080035971,4,2,4
"635",70.609786568775,12.8150422505932,72,34,25,31,73.2222152478767,64.3956675673976,31.3742926626494,32.7017755219431,49.8145707473637,4,2,2
"636",4.38404643419995,85.3967215626055,100,100,0,100,85.170386109171,NA,NA,NA,90.9491985195608,4,1,4
"637",70.8295082632707,12.1017172601197,55,10,19,84,59.950626985411,62.0550920254852,25.8328877794984,47.5030803563403,45.5150041534981,3,4,4
"638",64.8601242521611,8.12075061158053,81,65,28,55,53.508371295351,34.3842679804022,65.8019036957712,34.9516637397535,15.0025767553355,1,1,7
"639",4.57227967625899,1.44727967625899,70,84,11,32,82.2635135135135,56.0098184121622,63.0067567567568,56.1787373310811,95.2273493705036,5,3,7
"640",1.63440337425212,0.498039737888489,100,100,100,0,48.7349076704546,48.2318300189394,44.251401496656,66.3438941493179,5.28241090562252,5,2,7
"642",87.5114838946764,5.31451419770673,100,100,0,100,1.07090747717655,90.2456283569336,3.97041783188329,5.8744546138879,2.95034157489873,2,2,5
"643",93.5043839928058,1.00438399280575,100,0,100,100,58.3250743310208,86.5863478691774,17.8889990089197,90.3524529236868,95.8804518884892,1,5,7
"644",5.37742963658612,87.7673667435044,100,97,96,96,90.4530267295598,25.8893474842767,10.8932783018868,60.4805424528302,49.0472480719429,2,4,7
"645",2.31058902877698,95.435589028777,63,97,0,49,86.6554054054054,79.320629222973,38.1756756756757,69.1854940878378,49.9575651978417,4,2,3
"646",1.73667455313455,6.28212909858911,99,100,0,100,NA,NA,66.1425157026811,72.6636482007576,91.510911506398,5,5,7
"647",93.0353560567994,4.39337344842804,100,100,100,100,NA,NA,NA,NA,50.6775665923653,3,4,7
"648",98.4404781165014,1.55952188349859,100,100,0,0,18.6180255416625,43.9567954021926,17.3951664470998,68.0471003048256,92.085526340658,4,1,1
"649",14.7917674834071,82.9735856652252,96,100,100,100,NA,NA,NA,48.1474919752641,NA,5,1,1
"650",5.21526528776978,5.84026528776979,81,100,95,100,81.9256756756757,79.320629222973,19.5945945945946,20.0300886824324,9.56975044964029,5,4,7
"651",0,100,0,100,0,100,NA,NA,NA,51.7868454391892,50,3,7,7
